level_id,poem_id,q_sign,a_sign1,a_sign2,a_sign3,a_sign4
1,1,1003,299002,1003,305004,94001
1,1,1003,294000,262000,294002,1003
1,1,1003,131005,405000,1003,137000
1,1,1003,310007,274004,1003,318000
1,1,1003,762000,14000,1003,626005
1,1,1003,1003,760003,638002,636002
1,1,1003,175000,1003,783007,201004
1,1,1003,313006,264003,22002,1003
1,1,1003,1003,292003,84005,210003
1,1,1003,226002,265006,135006,1003
1,1,1004,646000,298000,1004,361001
1,1,1004,642006,762003,164000,1004
1,1,1004,769007,296001,1004,162000
1,1,1004,178002,176001,281005,1004
1,1,1004,1004,623005,645002,279005
1,1,1004,139003,1004,264002,141001
1,1,1004,253003,7001,178003,1004
1,1,1004,283006,222000,85003,1004
1,1,1004,287001,633006,642000,1004
1,1,1004,1004,770004,277004,635004
1,1,1005,288000,361000,1005,306000
1,1,1005,287001,1005,205005,626007
1,1,1005,1005,610002,264006,146002
1,1,1005,618001,378001,756002,1005
1,1,1005,1005,746004,178003,656002
1,1,1005,750000,630006,1005,654001
1,1,1005,1005,635007,636000,83003
1,1,1005,645001,273007,1005,308004
1,1,1005,822002,1005,381002,111001
1,1,1005,764007,1005,131006,318008
2,2,2000,258002,139007,619007,2000
2,2,2000,2000,318003,620007,11001
2,2,2000,145005,250001,275000,2000
2,2,2000,303006,2000,629003,263001
2,2,2000,658004,758004,386000,2000
2,2,2000,284000,303006,759002,2000
2,2,2000,2000,318001,367002,622002
2,2,2000,2000,776005,176000,168003
2,2,2000,298000,753001,2000,643004
2,2,2000,208006,783001,314005,2000
2,2,2001,294003,661007,294007,2001
2,2,2001,360001,649004,2001,766004
2,2,2001,80005,612004,2001,302005
2,2,2001,159007,2001,254006,761001
2,2,2001,761007,360002,760001,2001
2,2,2001,13002,2001,746004,784006
2,2,2001,2001,306003,632007,642005
2,2,2001,782008,294003,2001,1005
2,2,2001,254004,9002,2001,666002
2,2,2001,300005,272001,2001,637000
2,2,2002,747000,2002,371003,253005
2,2,2002,2002,146006,355002,302007
2,2,2002,2002,777001,165001,617003
2,2,2002,305005,403000,2002,315000
2,2,2002,628002,631001,2002,310001
2,2,2002,2002,393002,164002,170000
2,2,2002,656005,258006,173003,2002
2,2,2002,207000,2002,300007,141006
2,2,2002,2002,130000,664005,756000
2,2,2002,696002,296000,2002,665001
2,2,2003,15002,2003,12000,632000
2,2,2003,299003,2003,756006,362003
2,2,2003,227001,252001,2003,400002
2,2,2003,641002,158006,2003,625007
2,2,2003,129006,169002,96003,2003
2,2,2003,2003,767005,158007,618002
2,2,2003,391003,2003,612002,654002
2,2,2003,2003,393003,256006,82001
2,2,2003,301000,772004,2003,293007
2,2,2003,760004,140007,752002,2003
3,3,3000,312004,3000,227001,228000
3,3,3000,3000,294003,640000,662000
3,3,3000,640006,748003,386003,3000
3,3,3000,136003,3000,767005,759004
3,3,3000,302003,3000,302002,822000
3,3,3000,302000,3000,130007,381001
3,3,3000,410000,623002,660001,3000
3,3,3000,144004,262004,748001,3000
3,3,3000,267003,3000,138006,269006
3,3,3000,3000,385001,138007,754004
3,3,3001,626007,3001,300003,259007
3,3,3001,267002,297006,204003,3001
3,3,3001,768004,749004,3001,305000
3,3,3001,254007,224000,291003,3001
3,3,3001,134002,158002,142006,3001
3,3,3001,11002,262006,264002,3001
3,3,3001,3001,308003,374001,214006
3,3,3001,640002,3001,276003,646002
3,3,3001,15002,308005,3001,301002
3,3,3001,3001,272001,405001,165003
3,3,3002,3002,766001,275001,657004
3,3,3002,210004,3002,13000,180001
3,3,3002,316004,632007,84005,3002
3,3,3002,3002,131000,270003,384003
3,3,3002,758001,636005,3002,768002
3,3,3002,627000,287002,619007,3002
3,3,3002,169000,3002,779004,355003
3,3,3002,96002,3002,20000,373003
3,3,3002,776007,144004,261007,3002
3,3,3002,285002,3002,279004,396003
3,3,3003,14000,385002,3003,251004
3,3,3003,778005,770003,3003,91006
3,3,3003,3003,388003,320003,405001
3,3,3003,25004,3003,632007,251001
3,3,3003,640004,158006,284003,3003
3,3,3003,252005,399002,3003,361003
3,3,3003,212006,285006,3003,624001
3,3,3003,87003,3003,393001,753007
3,3,3003,3003,780004,263004,267004
3,3,3003,641003,256005,3003,255007
4,4,4000,4000,18002,259000,372002
4,4,4000,23000,291005,302002,4000
4,4,4000,633000,642003,643002,4000
4,4,4000,264004,780007,624003,4000
4,4,4000,252001,202005,630007,4000
4,4,4000,284006,644000,4000,89004
4,4,4000,136001,256000,771005,4000
4,4,4000,644003,270002,4000,20001
4,4,4000,210003,622003,668006,4000
4,4,4000,641003,313006,4000,646000
4,4,4001,612007,4001,668007,311005
4,4,4001,4001,265006,510004,744002
4,4,4001,263003,4001,356001,661006
4,4,4001,202001,293001,252005,4001
4,4,4001,4001,770000,281000,405000
4,4,4001,661005,750005,4001,285000
4,4,4001,265004,4001,1003,308001
4,4,4001,1005,18003,758003,4001
4,4,4001,643000,4001,315006,264002
4,4,4001,22002,91004,4001,320006
4,4,4002,264001,270006,4002,780007
4,4,4002,381000,4002,308000,136000
4,4,4002,22003,762001,4002,206002
4,4,4002,296000,627005,4002,757006
4,4,4002,272006,777003,297002,4002
4,4,4002,89001,408003,640006,4002
4,4,4002,371002,275007,4002,668009
4,4,4002,360001,648000,158002,4002
4,4,4002,4002,309006,292006,748002
4,4,4002,5002,12001,4002,666005
4,4,4003,692000,204000,4003,390000
4,4,4003,4003,272007,202004,761001
4,4,4003,302006,4003,634000,631001
4,4,4003,288000,357002,4003,762000
4,4,4003,4003,398000,9002,136000
4,4,4003,131002,22000,4003,754002
4,4,4003,4003,754006,284001,618003
4,4,4003,273007,319005,4003,662007
4,4,4003,7003,4003,371000,782003
4,4,4003,212004,210006,4003,110000
5,5,5000,5000,136003,132004,406000
5,5,5000,752006,407003,272004,5000
5,5,5000,5000,320007,81007,279004
5,5,5000,752005,294005,7001,5000
5,5,5000,158007,206000,5000,169001
5,5,5000,5000,259002,656005,268002
5,5,5000,176002,5000,620002,257000
5,5,5000,5000,284003,275000,255004
5,5,5000,624002,201004,257000,5000
5,5,5000,267000,5000,387003,638003
5,5,5001,134001,375001,5001,204000
5,5,5001,310007,5001,309007,770007
5,5,5001,375003,132005,5001,291005
5,5,5001,696003,621001,224001,5001
5,5,5001,202001,279004,626005,5001
5,5,5001,80004,5001,391003,208003
5,5,5001,307005,7003,5001,303003
5,5,5001,87001,5001,361003,767001
5,5,5001,5001,279001,629002,210002
5,5,5001,111001,5001,693001,13001
5,5,5002,5002,362000,668009,280004
5,5,5002,140004,318001,5002,207004
5,5,5002,772002,618004,302006,5002
5,5,5002,5002,209005,763007,366002
5,5,5002,288001,213003,5002,264002
5,5,5002,5002,303004,221001,308002
5,5,5002,369001,5002,664000,281000
5,5,5002,319005,251001,5002,137001
5,5,5002,627003,645001,5002,307005
5,5,5002,385000,209000,5002,370000
5,5,5003,108007,635002,748006,5003
5,5,5003,4002,616007,5003,270006
5,5,5003,83006,180001,5003,21001
5,5,5003,86004,204003,5003,381003
5,5,5003,696000,10001,5003,631005
5,5,5003,772001,5003,174002,401003
5,5,5003,405001,753004,5003,646000
5,5,5003,88004,319008,5003,365001
5,5,5003,376002,305005,5003,409001
5,5,5003,160005,314001,308002,5003
6,6,6000,280000,264001,6000,308000
6,6,6000,222003,283004,6000,13003
6,6,6000,782005,88004,6000,255000
6,6,6000,640004,253002,6000,373001
6,6,6000,159002,6000,165001,251000
6,6,6000,307003,6000,376003,260006
